product_name,review_text,sentiment
none,"These are nicely packaged and initially I was impressed - I didn't have to go to the store to buy batteries, they were cheaper than alternatives, and the packaging was great. I opened the first set of 4 AAA batteries and sadly found out one was already dead. We also ordered AmazonBasics AA batteries and had the same problem. 1/4 were dead. I hope this isn't a pattern for the rest of the box.",Slightly Negative
none,Sample size was good but colors not appropriate for me,Slightly Negative
none,They are packaged by 4s and the plastic is really hard to get off.,Slightly Negative
none,Works well but lacks forward control of screen and right and left movement on keyboard. Good foor short notes but could never do any substantial typing on this without external keyboard. Good for basic websurfing and email.,Slightly Positive
none,I like this Kindle the only this is it does not read the books as good as my older Amazon Kindle Fire.,Slightly Positive
none,I love this tablet and the games. But battery sucks. It goes dead really fast and it freezes up a lot.,Slightly Negative
none,Wanted to travel without my laptop. Found the Fire to be perfect. Used it mainly for checking email and keeping up with Facebook posts of friends. Found the size of screen to be easy to read. Typing a tad uncomfortable until one has some experience using it. Have yet to use as an ereader.,Positive
none,Bought as a gift to go with the vibrator.,Slightly Positive
none,"They are batteries and they do work... but not for long. I pretty much base battery quality by how long they last in my wireless mouse. Generally I have to replace my home mouse every 5-6 months. I purchased these Amazon Basics AA Performance Alkaline batteries 3-1/2 months ago. In that time I've replaced my home mouse battery *3* times!! (The 3rd being yet again today.) My daughter has also gone through 2 batteries in her mouse as well (though she spends most of her time on her laptop with the touchpad).The shipping was fast and you get several batteries for a low cost, but I think a more economical way to go is to spend a little extra on name brand dependable batteries that last 2-3 times as long.",Slightly Negative
none,"Not as good as before the old kindle, just seams to work better",Slightly Negative
none,Don't seem to last as long as Duracell.,Slightly Negative
none,I bought this as a Christmas gift for my wife and things started out well but lately my wife has been having issues with it. It hasn't been working as it should and its only been a little over 2 months since she's had it. I'm going to try a hard reset on it and see if that helps.,Slightly Negative
none,This pillow is made of memory foam but it is rock hard. It actually made my neck pain worse. The reason I'm giving it two stars instead of one is that the fabric feels nice and seems well made. This may work for some people but not me.,Negative
none,"so far. A few not so great things, modt of them managed to resolve them though.",Slightly Negative
none,Nice cheap battery. Will not last as long as a regular brand battery. You can even feel the difference,Slightly Negative
none,is a God tablet but the camera could be a little better,Positive
none,Good price but batteries just don't last as long as name brands. My hope was to power Christmas decorations through the holidays and save a few bucks. Many of these batteries did not make it. In the future I will stick with proven brands.,Negative
none,Wish it was easier to understand set up so children don't accidently charge to my account.,Slightly Negative
none,It's a good device for children because they don't know any better,Slightly Positive
none,Go with a brand name.,Negative
none,"The Amazon Fire HD8 (2016 model) is a great tablet for the price; however, the Fire OS offers limited abilities to the user. Personally, I wish there were ways to mirror the screen to a tv without having to purchase a Fire TV streaming stick. Also, the inability to use the google play store is a major set back. If it weren't for those two complaint, I'd give this tablet 4 stars.",Slightly Positive
none,"Overall it is a good tablet, but I am not a fan of the limitations of the silk browser and Amazon app store.",Slightly Positive
none,The batteries came vacuum-sealed in packs of 4 in this really heavy/annoying plastic.,Slightly Negative
none,"still playing with it, figuring out what I can & can't do. I love the tangerine color I got. One thing for sure, some apps I have on my phone like redbox & instagram they are not in the amazon app store so I can't put them on the tablet. Wish I could.",Slightly Negative
