product_name,review_text,tags
Logitech Mouse,"Two Stars. didnt help pain in my thumb, rather it aggravated it.","[""design""]"
Glycerin,Five Stars. great for scrub making,"[""performance""]"
Glycerin,Five Stars. Main ingredient in my diy juice for over two years,"[""performance""]"
Glycerin,Five Stars. Use this in my bubble bars and it works great!,"[""performance""]"
Glycerin,Five Stars. Works as advertised,"[""performance""]"
Glycerin,Leaks and doesn't work in food recipes. I was never able to get proper use out of this product. I had found it included in several protein related recipes and decided to buy it but the recipe didn't list a brand. This was definitely not the right brand. It also leaked all over the bottle.,"[""design"",""performance""]"
Glycerin,"Not what is pictured!. I bought this glycerin because it was *supposed* to be Essential Depot brand. Instead I got the glycerin with the red, white, and blue label.<br /><br />I expect to receive what is in the picture. I will send a note to Essential Depot informing them of the switch.<br /><br />I ain't very happy right now.","[""none""]"
Glycerin,"Two Stars. Made with palm oil, didn't realize this before purchasing.","[""non-review""]"
Glycerin,Yes. Yes,"[""non-review""]"
Foot Scrubber / Massager,Doesn't stick to textured surface!!. Good enough for under $10. Cheaply made for sure. My shower floor is textured so this just slides around and won't stick. I hold it against the wall with the opposite foot to use it. Not easy but doable. The bristles already look worn and I've used it once.,"[""performance"",""quality"",""value""]"
Foot Scrubber / Massager,Excellent product!. I really am barefoot 99% of the time. This is my second one of these and I love it. Gets the garden mud off my feet and feels good too!,"[""performance""]"
Foot Scrubber / Massager,Five Stars. Washed my dirty dogs,"[""performance""]"
Foot Scrubber / Massager,My opinion. Rating based on my opinion and product use. The rating needs to be a drop down only and not require someone to write an additional response. You will get better data with the multiple choice questions.,"[""non-review""]"
Foot Scrubber / Massager,"One Star. save your money, does not stick to shower floor.","[""performance""]"
Foot Scrubber / Massager,"easy feet. I do not recommend this product.  There is no ""well"" for the soap, the suction cups do not stick to my tile and the pumice stone arrived broken.  All-in-all, not a good $25 investment.","[""design"",""performance"",""quality"",""value""]"
Shower Cap,"Not very well made. First time I used this, it caught my earring and the elastic pulled out. Not a quality product.","[""quality""]"
Shower Cap,They feel cheaper now. This cap is now made smaller and thinner.  I will not buy this again,"[""quality""]"
Shower Cap,"super cute, but despite having a very tight band. super cute, but despite having a very tight band, it did not keep water out. gave it a few tries and came out with wet hair each time. the cheap hotel shower caps work better.","[""design"",""performance""]"
Shower Cap,Caps fits great but after using I saw on the package that .... Caps fits great but after using I saw on the package that it contains chemicals known to the state of California to cause cancer and/or birth defects or other reproductive harm. Threw it out.,"[""design"",""quality""]"
Shower Cap,Three Stars. cool,"[""none""]"
Smart Scale,Five Stars. Easy set up.  Works great!,"[""design"",""performance""]"
Smart Scale,"Five Stars. Fitbit Aria Wi-Fi Smart Scale, White Great scale but cannot be used if you have a pacemaker!","[""none""]"
Smart Scale,life saver. life saver,"[""non-review""]"
Smart Scale,"love. works great, easy to set up. its perfect.","[""design"",""performance""]"
Smart Scale,They like it and it is used regularly. Bought this for my family. They like it and it is used regularly.,"[""none""]"
Smart Scale,"TERRIBLE!! Inaccurate. TERRIBLE!! Inaccurate. Body fat % is a JOKE, my physician says I am 10% and this registered me as 20%!!! DO NOT waste your money, I returned mine.","[""performance""]"
Smart Scale,Should be better for the Price. This should be way more accurate for the money aslo disappointed with the WiFi signal I have to be nearly right next to my router for it to work...,"[""performance"",""value""]"
Smart Scale,Bad bad bad bad bad. Fitbit aria is a POS. It will fluctuate 4 pounds in back to back readings. My body fat percentage changed a whole 5% in two back to back readings. The data won’t sync with apple HealthKit. What a disaster for an expensive scale. I’m purchasing a $30 wireless scale with better reviews. I’m over FitBit. Y’all stink.,"[""performance""]"
Smart Scale,Noope. The scale is inconsistant and does not correctly measure weight. It has also weighed me as a &#34;guest&#34; on several occassions.,"[""performance""]"
Smart Scale,"great - until it stops working properly.. Blargh. I used to LOVE this scale, until like others have mentioned, it just decided to stop working. It's almost like one of the feet gets stuck or something, causing it to not function properly and the batteries drain in a few days. I had it about a year before this happened - so frustrating. Before that I liked it. :(","[""quality""]"
Cleaner,1. None,"[""non-review""]"
Cleaner,Bad quality. Not Recommended,"[""quality""]"
Cleaner,Best product ever created. Best product ever created. I walk around and clean my walls like a psychopath but it does an amazing job on everything I love it definitely ordering more.,"[""performance""]"
Cleaner,does it all. Who knew Mr Clean could clean up everything!,"[""performance""]"
Cleaner,Don't hold together very well. I tried to remove baked on gunk on my cookie sheets but not very successful. These fell apart after use with a little elbow grease. Won't buy again,"[""performance"",""quality""]"
Cleaner,Five Stars. Great bulk value!!,"[""value""]"
Cleaner,Five Stars. Love these!,"[""none""]"
Cleaner,Five Stars. These things can clean almost anything.,"[""performance""]"
Cleaner,One Star. waste of money. doesnt clean anything,"[""performance""]"
Cleaner,Not worth the money. These would be great if they lasted more than one swipe.,"[""quality"",""value""]"
Cleaner,"Falls apart too easily. I used to love these things to clean, but the second they get wet, they fall apart. Kinda sucks and bad for the environment too.","[""quality""]"
Coffee Filter,Not for a standard size percolator.. These are very big.,"[""non-review""]"
False Eyelashes,Five Stars. Good product worrking as expected,"[""performance""]"
False Eyelashes,Five Stars. Great product.,"[""none""]"
False Eyelashes,Four Stars. Don't seem long enough but feel real,"[""design"",""quality""]"
False Eyelashes,Four Stars. Feel really nice and look really nice and not clumpy,"[""design"",""quality""]"
False Eyelashes,Love these. These are the best,"[""none""]"
False Eyelashes,Not worth it. Poor quality,"[""quality""]"
False Eyelashes,One Star. Very thin and cheaply made.,"[""quality""]"
False Eyelashes,HORRIBLE. This was a piece of s***! they suck! DO NOT BUY!,"[""none""]"
False Eyelashes,One Star. They're uneven and it's a very light cord holding them. Awful!!!,"[""design"",""quality""]"
False Eyelashes,Two Stars. These are on thread. Very difficult to apply.,"[""design""]"
False Eyelashes,You get what you paid for.. The &#34;hairs&#34; are easily detached and they are mounted on a flimsy piece of string. Very difficult to put on.,"[""design"",""quality""]"
False Eyelashes,"cheap, requires trimming. doesn't hold lash shape when gluing it on.. Cheap","[""quality""]"
False Eyelashes,These were affordable and very natural but since the length .... These were affordable and very natural but since the length isn't varied you can't really even tell that you're wearing lashes.,"[""quality"",""value""]"
False Eyelashes,"I'd still choose my créme. Might buy again.. I usually only stick to créme lashes the (ones on the left) but I thought I tried these ones out. They feel good they aren't plasticky or hard to bend. They could be more fuller though. I haven't actually wore them yet, but they seem like they will hold up okay, shipping was fast as well. Not much to complain about. 👍","[""design"",""quality""]"
False Eyelashes,Four Stars. very big,"[""design""]"
False Eyelashes,Four Stars. good lashes,"[""none""]"
False Eyelashes,"Four Stars. these are fun, thank you for selling online","[""none""]"
Pain Relief Cream,"Did not like smell. I thought this would smell better but after using it a few days, a bad chemical odor began to annoy me.  The rose smell got cloying too.  Did not seem to benefit from use either.","[""quality""]"
Pain Relief Cream,Five Stars. good product/service,"[""none""]"
Pain Relief Cream,"Five Stars. Great product, only thing was that I became allergic. But will definitely recommend.","[""none""]"
Pain Relief Cream,Five Stars. love it,"[""none""]"
Pain Relief Cream,Good for pain. Great for lower back pain. But I add extra 2 tblsp of liquid dmso to this product.,"[""performance""]"
Pain Relief Cream,It really helps my arthritic shoulder although the DSMO does .... It really helps my arthritic shoulder although the DSMO does not seem<br />strong as I was expecting to cause a taste in my mouth and it didn't.<br /><br />I just assumed that I would taste it from things I had read.,"[""performance""]"
Pain Relief Cream,One Star. It didn't help my leg pain.,"[""performance""]"
Pain Relief Cream,Three Stars. Still trying it out,"[""non-review""]"
Kindle Tablet ,Five Stars. This is a birthday gift for my daughter.,"[""non-review""]"
Kindle Tablet ,Strange review request. I didn't order this item.,"[""non-review""]"
Kindle Tablet ,Four Stars. Great value for the price.,"[""value""]"
Micro SD Memory Card,Five Stars. Excellent.,"[""none""]"
Micro SD Memory Card,Five Stars. Fast.,"[""performance""]"
Micro SD Memory Card,Five Stars. Great my husband loves it!,"[""none""]"
Micro SD Memory Card,Great price and product.. User friendly...  works well..,"[""design"",""performance"",""value""]"
Micro SD Memory Card,Super deal!!. Great deal and shipped fast!,"[""value""]"
Micro SD Memory Card,Three Stars. its a memory card... it keeps memory,"[""non-review""]"
Makeup Brush Holder ,Arrived broken. Arrived broken,"[""quality""]"
Amazon Smart Plug,"Can't figure out how to make it work. I'm not a tech person, was told it was easily integrated .. Still haven't used it.  Wish instruction for dummies was inclouded.","[""design""]"
Amazon Smart Plug,"Wasn't worth the buck I paid for it. Well, it didn't last long.","[""value""]"
Amazon Smart Plug,Doesn't work. It doesn't work,"[""quality""]"
Amazon Smart Plug,does not work. does not work and apparently no warranty.,"[""quality""]"
Amazon Smart Plug,Not good. Defected product … does not connect to Alexa,"[""quality""]"
Coffee Filter,"but they look like the original one. i haven't used them yet, but they look like the original one.","[""non-review""]"
Peppermint Oil,Five Stars. great product thanks,"[""none""]"
Peppermint Oil,"Great product!. Great product, would buy it again.","[""none""]"
Peppermint Oil,scent does not last one minute even. I don't reommend,"[""quality""]"
Peppermint Oil,No. It wasn't helpful at all. I bought it to use on the ends of my hair. Saw no improvement. The company isn't the issue it is just the oil.,"[""quality""]"
Peppermint Oil,One Star. They don't tell you that it says on the label that it is not to be taken internally.,"[""non-review""]"
Peppermint Oil,The bottle says not to put the oil on your .... The bottle says not to put the oil on your skin unless it is diluted..... the product description is misleading,"[""non-review""]"
Peppermint Oil,Dispenser issues. Dispenser cap sticks and eventually breaks off so now cannot control drops well.,"[""quality""]"
Coffee Filter,"Good product, as expected. Does the job","[""performance""]"
Eyebrow Tint,Awesome. I love this product. It does not take 1-2 minutes thos not even. I applied 3 times to get to the point I wanted and to cover all spots. Once you have a lot of hair it takes longer. I still dont know how long it lasts but I like the results so far.,"[""performance""]"
Eyebrow Tint,Crap. Don’t waste your money. Once it touches the skin. It’s hell to remove bu won’t stay on the brow.,"[""quality""]"
Eyebrow Tint,Five Stars. Love this product,"[""none""]"
Eyebrow Tint,Five Stars. This product is great. It is easy to use and lasts about 4 weeks. I highly recommend it.,"[""design"",""performance""]"
Eyebrow Tint,"Four Stars. Easy to use, and didn't run.  Was easy to apply.","[""design"",""performance""]"
Eyebrow Tint,"Godefroy Tint Kit for Spot Coloring, Dark Brown. It is perfect to cover straw gray eyebrow hair.  I last about 2 1/2 weeks.","[""performance""]"
Eyebrow Tint,Great. Great,"[""none""]"
Eyebrow Tint,Didn’t last. Did not work very well.,"[""performance""]"
Eyebrow Tint,Wasted my money. Disappointed..the color only last 2 days.,"[""performance""]"
Eyebrow Tint,Works as promised. Works good,"[""performance""]"
Coffee Maker,😍. Love it,"[""none""]"
Coffee Maker,"A neat little coffee maker... It's probably one of the best ways to make coffee.  There are so many recipes and ways to use this found online.  Just spend some time and experiment, you're bound to find the best way for you.  I like the inverted method the best.","[""design"",""performance""]"
Coffee Maker,"Amazing coffee. I really enjoy using the Aeropress. The coffee isn't quite as strong as espresso but it's much stronger and smoother than regular coffee. The flavor is outstanding. I purchased it primarily for travel and paired it with a Hario mini grinder. I now use it at home, too.","[""performance""]"
Coffee Maker,"One Star. in opposite to what the image shows, the item is fully opaque and not transparent.","[""non-review""]"
Soft Tissues,"Super harsh. We just got these tissues delivered today. I have never felt Puffs Plus tissues that are this harsh. These are like Puffs,  the sandpaper edition. I’m wondering that if these are actual Puffs or fakes.","[""quality""]"
Soft Tissues,A/ok. A-ok and great price.,"[""value""]"
Soft Tissues,"Great no more painful wipes and no more money. Look no more red nose! But, no more money for the love of tissues please","[""value""]"
Soft Tissues,Good. Good tissue,"[""none""]"
Soft Tissues,"Not Kleenex.. Not Kleenex, but it’ll do.","[""none""]"
Bluetooth Speakers,"Good price, good product. Small, plays music loud and great price.","[""design"",""performance"",""value""]"
Bluetooth Speakers,One Star. Charging port no longer works.  Speaker didn't last.,"[""quality""]"
Bluetooth Speakers,Not like it at all. Not like it at all,"[""none""]"
Bluetooth Speakers,the sound is horrendous!. Do not purchase this!  Awful sound quality.,"[""performance""]"
Bluetooth Speakers,Decent sound quality.. The speaker sounds sufficient. I used it all the time including on my boat.,"[""performance""]"
Yoga Mat Cleaner,One Star. Useless.,"[""none""]"
Yoga Mat Cleaner,Present for mum on Mothers' Day. Present for mum on Mothers' Day,"[""non-review""]"
Yoga Mat Cleaner,"Nice smell. Nice smell,  works well","[""performance""]"
Yoga Mat Cleaner,Yogies welcome. Nice for the price!,"[""value""]"
