product_name,review_text,tags
Anti-slip wax for glasses,Works. Okay product,"[""performance""]"
Dishwasher Magnet,works. needs a better magnet almost to big.,"[""performance""]"
Glycerin,works. I got this to help with a edible tincture and it works very well.  I must say that a small portion goes a long way.,"[""performance""]"
UV-C Sanitizer and Deodorizer,Works!!. My husband has pollen sensitivity.  We put this on his side of the bed and he can definitely tell the difference in the air quality.,"[""performance""]"
Water Filter,"Works, but overpriced like all filters.. Overpriced, as all fridge filters are but it works as it should.","[""value""]"
Listerine pump for mouthwash,"Works, but not practical.. Pump works, but it squirts liquids on the upswing not just on its way down. The unexpected squirt is quite powerful and splashes the liquid already in the cup on my hands. It needs to deliver a smooth delivery on the way down only.","[""performance""]"
Kitchen Tools,"Works, but expensive. It works, but expensive for these two pieces of silicone or plastic … or, whatever material in which they are made.","[""value""]"
Tea Infuser,"Works, but discolors badly after a few uses, not worth the premium price. Had high hopes for this - paid a significant premium but it's simply not worth it. There's still a lot of plastic in it, and after a few uses and rapid, thoughtful cleaning it still discolors rapidly after only a few uses and is ultimately no better than alternatives less than half the price","[""quality"",""value""]"
Coffee Maker,Works well. I bought this AeroPress for travel. I like the taste that it produces ok... I still prefer either espresso or pour over. This produces a hybrid of the two. It does a good job on the go.,"[""performance""]"
Coffee Filter,Works well.  Easy to clean.  Coffee just isn't strong enough for me though.. Works well.  Easy to clean.  Coffee just isn't strong enough for me though.,"[""performance""]"
Amazon Smart Plug,Works well.  But nite it does not support power use monitoring.. Great when on sale.  Wish it had power monitoring capability,"[""performance"",""value""]"
Hair Spray Bottle,"Works well for plants. I purchased this for my Son to use on bonsai's. He says it's nice, but not quite what he expected. He thought it would be continuous spray with holding pump down. Otherwise he is happy with it.","[""performance""]"
Amazon Fire TV Stick,Works well for most things but I am hugely disappointed that the Youtube application is no longer available. Works well for most things but I am hugely disappointed that the Youtube application is no longer available... after I bought THREE of these!,"[""performance""]"
Stain Remover,"Works well but smells like chemicals. Works well, but it smells like strong chemicals, which makes me a little nervous.","[""performance""]"
Dishwasher Magnet,"Works well but just watch your dishwasher's surface. I have a stainless steel dishwasher, and the magnet was discoloring it a bit. But I just moved it to the fridge. It's great--I use it and look at it every week.","[""performance""]"
Makeup Brush Holder ,"Works Okay. This works okay, but one part cracked rather quickly. The legs also come apart if it is lightly bumped.","[""quality""]"
Micro SD Memory Card,"Works in Sansa Clip+ running Rockbox. Presently using this with my Sansa Clip+ running Rockbox, been using it for a couple weeks without incident, so it is supported. Great if you want to run FLAC or audiobooks or both, haven't had the slightest issue.<br /><br />Also, still incredible they can fit that much space on such a tiny chip.","[""performance""]"
Anti-slip wax for glasses,Works great. Works very well and much cheaper than alternative,"[""performance"",""value""]"
Insect Repellent,"Works great. We just moved to the country. While mowing my arms got bit up terrible.  I always liked sss so I thought I would give it a try. It really works, not one bite.  Plus its a sunscreen, also moisturizes and it doesnt smell too bad.","[""performance""]"
Echo Dot,Works great!. Works great!,"[""performance""]"
Coffee Filter,"Works great with experience  and trial -error!. Well I really like it but had to experiment with different grinds. Locking fittings probably could use some beefing up as it pops open when I overfill from probable over filling going by the indicator lines, makes a mess. But with use I have had pretty good luck and can get coffee as strong as I like.","[""performance"",""quality""]"
Listerine pump for mouthwash,"Works Great for kids bathroom. I needed something simple, durable, and easy to clean for my kids bathroom.  They are 2 and 3yo and learning to brush and floss their teeth, etc so this works great!","[""design"",""performance"",""quality""]"
Smart Scale,"Works Good, Syncing to Wifi Could be Improved.. My Aria scale has worked great for over a year. Easy to use daily. I just wish it wasn't such a pain to reset it and reconnect to the new network when I changed the network name. Ultimately works great though.","[""design"",""performance""]"
Insect Repellent,Works for me!. It worked for me while cutting down hedges! Has a pleasant smell and is very creamy. I love it!,"[""performance""]"
Hair Spray Bottle,"Works fine. Box was slightly damaged and the bottle itself had some scratches on it, but it still works fine. Not exactly ""new"" though.","[""quality""]"
Hair Diffuser Attachment,"Works fantastic, I think it would fit almost any dryer .... Works fantastic, I think it would fit almost any dryer because it's flexible and molds to the shape of your dryer.","[""performance""]"
Listerine pump for mouthwash,"Works as it should, however, you would need .... Works as it should, however, you would need to angle the cap you're pumping the liquid into otherwise you get sprayed on, too.","[""performance""]"
Micro SD Memory Card,Works as expected.. Purchased this card for my LG G Vista 2 cell phone.. It fits fine and is working properly.,"[""performance""]"
Echo Dot,Works as advertised.. All good.,"[""performance""]"
Earbuds,"Worked up to the warranty period!. I bought these as started earbuds for myself. I often lose them so I didn’t want to have to replace 150 dollar earbuds. They were working just fine until the warranty date passed. Now, I’m stuck with only a right earbud because the left refuses to charge or connect.","[""quality""]"
Coffee Scoop,Worked OK until it snapped in two.. Worked OK until it snapped in two.,"[""quality""]"
Cleaner,What's so special about these?. I bought these because I saw them recommended in some article. I don't get it....what is so special about them. Seems like a regular sponge or wash cloth and some cleanser works better.,"[""performance""]"
Amazon Fire Tablet,"Was Easy on the eyes. Forces me to watch AMAZON Prime VIDEO and Alexa keeps popping up. I can not access the books that I have purchase. I've spent over $100 for books and can't even read them. Not to mention the $200 for the Fire reader. Looks like electronic waste. No help from Amazon, ever.","[""design"",""performance""]"
Kindle Tablet ,"Very happy customer!. Love this device, it’s perfect size and the quality is out of this world, not to mention the color is beautiful  . I love it too because it’s simple almost ready to use because it’s simple to understand how to use. Great but !","[""design"",""quality""]"
Soap Sheets,"Very handy, small and lightweight. Very handy to keep in purse for emergency","[""design""]"
Cleaner,Very good product.. Does a great job cleaning.,"[""performance""]"
Micro SD Memory Card,Three Stars. its a memory card... it keeps memory,"[""non-review""]"
Water Filter,"This leaks!. I went with the GE brand and it leaks.  I’ve got a pint glass sitting underneath it and have to empty it every 1-2 days. I’ve taken it out and reinstalled it but hasn’t helped.  I’m sad because the one that was there before didn’t leak, so I know it’s not the fridge.  Schmerp.",[""quality""]
Pain Relief Cream,"this is my second order of this stuff, it .... this is my second order of this stuff, it really helps and I do not have to take pills. I use it on my neck, knees, elbows, and shoulders.","[""performance""]"
Coffee Filter,"This did not fit the unit they were purchased for. Too small. It should state which unit they fit.. Is did not fit the unit they were purchased for. Too small. Rather than give the model they replace, they should state which unit they fit.<br /><br />I can not recommend this item.","[""none""]"
Cotton Rounds,"Thinner than expected. These are convenient, but thinner than expected. Seems about half as thin as other cotton round pads I would buy at the store.","[""quality""]"
Wet Wipes,They're ok. Good but not the best,"[""none""]"
Coffee Filter,They sent me natural. I ordered the white bleached filters and received the natural which gives off a faint unpleasant taste to the coffee. Will not order these again.,"[""none""]"
Shower Cap,They feel cheaper now. This cap is now made smaller and thinner.  I will not buy this again,"[""quality""]"
Echo Dot,"They become less responsive over time.. They're ok, but I'm upgrading to Sonos.  Decent if you have a small place and are concerned about being considerate towards your neighbors.","[""performance""]"
Wet Wipes,They are now smaller.. They now make the Kandoo wipes smaller. I called Pampers Kandoo and they said that they make them smaller and there are supposed to be 50 in the pack. There are 42 in the pack. They are now only good for infants.,"[""quality""]"
False Eyelashes,These were affordable and very natural but since the length .... These were affordable and very natural but since the length isn't varied you can't really even tell that you're wearing lashes.,"[""quality"",""value""]"
Soft Tissues,There are just as good for cheaper. Not my favorite. There are cheaper tissues that do just as good a job.,"[""value""]"
Coffee Maker Cups,The right thing to buy. The product I was looking for.,"[""none""]"
Water Filter,So So. Didn't like it.,"[""none""]"
Hairspray,Sizable. Nice size,"[""design""]"
Insect Repellent,PREVENTS BUGS FROM DOGS. ME AND MY DOG WERE BOTH ALLERGIC,"[""none""]"
Amazon Smart Plug,Present. Present with Dot,"[""non-review""]"
Yoga Mat Cleaner,Present for mum on Mothers' Day. Present for mum on Mothers' Day,"[""non-review""]"
Hair Spray Bottle,Practico. Cabello,"[""non-review""]"
Peppermint Oil,One Star. They don't tell you that it says on the label that it is not to be taken internally.,"[""non-review""]"
Insect Repellent,One Star. Oily,[""quality""]
False Eyelashes,"One Star. Not good, i m not recommended","[""none""]"
Coffee Maker,"One Star. in opposite to what the image shows, the item is fully opaque and not transparent.","[""non-review""]"
Micro SD Memory Card,One Star. Had to return could use camera,"[""none""]"
Pain Relief Cream,One Star. Get a prescription. Much safer and pure.,"[""quality""]"
Smart Scale,One Star. Doesn't connect to wifi,[""performance""]
Water Filter,once installed the water had bad aftertaste - sent it back. had to send it back - it is easy to install but the water had an after taste once installed - i did reset my refrigerator filter button a few times but still had a aftertaste,[""performance""]
Amazon Echo Show,"Not that easy to set up. This is not that easy to set up and I am desperate for home protection. It is frustrating to work with. Between working, going to school, and the worry of trying to protect myself from a criminal element this device has been nothing but an exercise in frustration and futility. I use it for the news and music. Some times it shows me my security camera if it is in the mood.","[""design"",""performance""]"
Coffee Filter,NOT FOR KEURIG 2.0. The description didn't state that this cup won't fit a Keurig 2.0. Was easy to return for an account credit.,[""none""]
Coffee Filter,"Not for 2.0. My kids have one. Works great but, not in my new 2.0 machine. They do not tell you that until you read the directions",[""quality""]
Cleaner,"Not Durable & Doesn't Work. I brought this for my tub since it was ranked on a list as the #1 cleaner & it was a epic fail. In less than 2 minutes of using it, it ripped. You also DEFINITELY need some sort of product on this to clean anything. This was a complete waste of $","[""performance"",""quality""]"
Peppermint Oil,No. It wasn't helpful at all. I bought it to use on the ends of my hair. Saw no improvement. The company isn't the issue it is just the oil.,[""performance""]
Cleaner,"No magic. There is nothing magic about these, they are worthless","[""none""]"
Amazon Fire Tablet,NO GOOGLE PLAY STORE APPS ALLOWED. This has too much bloatware and IT DOES NOT IMPORT apps from Google Play Store.,"[""performance""]"
Foot Scrubber / Massager,"Nice idea, poor implementation. I actually bought this as a gag gift and it worked fine for that, but it doesn't stick down to the shower floor very well, and to use the pumice portion of it, it would have to be tightly secured. They should have included better suction cups.","[""design"",""performance""]"
Water Filter,Needs better installation instructions.. I THINK THE INSTRUCTIONS NEED TO BE IMPROVED. All my water is coming out with bubbles.,[""none""]
Foot Scrubber / Massager,My opinion. Rating based on my opinion and product use. The rating needs to be a drop down only and not require someone to write an additional response. You will get better data with the multiple choice questions.,[""non-review""]
Amazon Echo Show,Love it!. Its my favorite of all of mine.  I like the weather and clock and tips,"[""none""]"
Smart Scale,life saver. life saver,[""none""]
Foot Scrubber / Massager,"It Works. It doesn't stick that well to textured surface nor can you get it out of the way by sticking it on the shower insert. It does take up a lot of room on the shower floor. On a good note, it does allow you to clean the bottom of your feet when you are unable, for whatever reason, to lift your foot. Affordable.","[""design"",""performance"",""value""]"
Smart Scale,It appears to read 20 lbs high.. This scale is a liar.,[""performance""]
Coffee Filter,"Impractical when another person uses regular K-cup.. Too much fussing around taking out, then replacing the brewer's cup holder, not to mention all the necessary little mods to keep it from leaking and not seep grounds.  Tossing it and getting an Ekobrew...much simpler and easier to clean.",[""design""]
Smart Scale,"I like the concept of the scale. I like the concept of the scale.  I had no trouble setting it up but when it is accidentally bumped, unnoticed, the weigh-in on the screen does not shut off so therefore the batteries die faster.  It seems I am constantly changing the batteries.",[""design""]
Coffee Filter,here mom.. Bought this for my Minie Keurig and it didnt fit. Even though it said everywhere i looked that it would. So my mom got a new one for her Keurig.,[""none""]
Amazon Fire Tablet,"hate this tablet 10 "" is what im used to slow to charge, no alexa working, sending back asap.. cannot get ALEXA to work. brand new tab. took 6 hours to fully charge. no google mail. no free phone calls u just use this fire tab to speak thru using your own connection. hate it. sending back. bad experience overall.","[""performance""]"
Smart Scale,"Great Scale, heafty price. I got this scale because I started using the fit bit one.  While it's great and more accurate than my previous scale, it's pretty pricey. I'm not sure it was worth the price.","[""performance"",""value""]"
Logitech Mouse,"Great mouse!. I love this mouse, it’s much easier to game with and easier to cover your hand to keep it warm if you have bad circulation.<br /><br />I’ve been using it for years and my little brother has one too - he also loves it.",[""performance""]
Hair Clips,"Great item, very handy. I recently acquired a flat iron and wanted clips like these to section and hold my daughter's hair while we used the flat iron. These are well-made in friendly colors, and they're nicely curved rather than straight. The jaws hold well but aren't too strong. Really an ideal solution and at a great price, too.","[""design"",""performance"",""quality"",""value""]"
Smart Scale,"great - until it stops working properly.. Blargh. I used to LOVE this scale, until like others have mentioned, it just decided to stop working. It's almost like one of the feet gets stuck or something, causing it to not function properly and the batteries drain in a few days. I had it about a year before this happened - so frustrating. Before that I liked it. :(","[""quality""]"
Insect Repellent,Gave my son a rash on his cheek when applied .... Gave my son a rash on his cheek when applied.  Next time just use regular sunscreen and buy one of those mosquito repellent bracelets.,[""quality""]
Amazon Echo Show,"Frustrating. The voice recognition sounds ok. The user interface is straightforward, and I can’t quickly figure out how to do anything.  I have two older Alexa speakers that I love and this was a good. I thought I could use this in the kitchen. It’s easier just not to let my phone lock bc I don’t readily see otherwise.","[""design""]"
False Eyelashes,Four Stars. very big,"[""design""]"
Water Filter,"Four Stars. A little more pricey than I would have liked, but it works perfectly.","[""performance"",""value""]"
Insect Repellent,For 10.99 it's small. Really small,[""value""]
Shower Cap,Five Stars. good fit and value,"[""design"",""value""]"
Insect Repellent,Five Stars. A nice and useful cream,"[""performance""]"
Amazon Fire Tablet,Fire HD 10 Tablet. Didn't realize you couldn't play games on this device.,"[""non-review""]"
Water Filter,filter. I was upset that when it says pack it not more than one. False advertising. Pack means 2 or more not one.,[""non-review""]
Insect Repellent,"FAILED!. This product did NOTHING to stop bug bites - in fact the no-see-um’s on Sanibel beach, Florida, seemed to be attracted to it. Four days later we are still itching and dealing with multiple bites. Trusted this product as well as buying the regular skin-so-soft - neither one prevented bug bites. Total spent: over $50.<br />Bug bites prevented:  NONE.","[""performance""]"
Coffee Filter,"Easy To Use BUT..... I bought one of these reusable filters with the intent of using some of my favorite Starbucks blends with my Keurig Coffee Maker. Although it is easy to use, I found it a bit too messy after just popping in a K-Cup for over a year.<br /><br />It's doable, don't get me wrong, but I think I'm just spoiled with the K-Cups.","[""design"",""performance""]"
Water Filter,"easy to install. So far it's working good  I have no complaints,The water taste good and is coming out at a good pace.","[""design"",""performance""]"
Foot Scrubber / Massager,"easy feet. I do not recommend this product.  There is no ""well"" for the soap, the suction cups do not stick to my tile and the pumice stone arrived broken.  All-in-all, not a good $25 investment.","[""design"",""performance"",""quality"",""value""]"
Cleaner,Don't hold together very well. I tried to remove baked on gunk on my cookie sheets but not very successful. These fell apart after use with a little elbow grease. Won't buy again,"[""performance"",""quality""]"
Foot Scrubber / Massager,"Don't bother.... Worst foot cleaner out there. Heavy and clunky.  Buy the suction cup type you can hang on the outside (or inside) of the tub. I did not buy this on Amazon, I bought it at a drugstore and returned it the next day.",[""design""]
Coffee Filter,Doesn't fit. Doesn't fit,[""none""]
Coffee Filter,Doesn't Fit in the Keurig K155 properly. the sliver .... Doesn't Fit in the Keurig K155 properly. the sliver piece sticks up farther than the original piece and the filter can't fit into the original piece. it still works but the spout is slightly in the machine still.,"[""design"",""quality""]"
Insect Repellent,didn't see much difference from using the Skin-So-Soft and this .... didn't see much difference from using the Skin-So-Soft and this product.  I will just use the Skin-So-Soft in the future.,[""performance""]
Amazon Fire Tablet,Did not like it. Returned,"[""none""]"
Amazon Fire Tablet,Dead spot on screen now....5 weeks after warranty expired.. Used only to listen to books at night...barely used.  Am dissatisfied with this product. I have hardly used this.<br /><br />On the right side of the screen there is a dead zone about the size of a business card. Only found out when i went to play a game.,"[""quality""]"
Shower Cap,"Cute but small. It is really cute, the material is okay, but is way to small to cover my hair up. I use it anyway, but I would have rather a bigger cap.",[""design""]
Water Filter,Clorine taste present. Still have that clorine taste,[""performance""]
Logitech Mouse,"Cheaply made. Had higher expectations. Weak, loose, noisy. The roller ball is a distraction instead of an asset. Trying for years to replace a Microsoft Trac-ball. This is a swing and a miss.","[""performance"",""value""]"
Coffee Filter,Careful that your Keurig Machine allows the use of this item.. Unfortunately I have the Keurig 2.0 machine and it doesn't allow you to use this K-cup filter.,[""none""]
Insect Repellent,Bug Guard in Lotion Form. Haven't used it a great deal yet but I like the idea of a bug guard in lotion form.  It is exactly as described & arrived promptly.,[""non-review""]
Coffee Filter,Be careful to check which machines it fits before ordering. Doesn't fit my machine,[""none""]
Insect Repellent,"Balls up like typical AVON product. First, i don't like the smell.<br /><br />Second, it balls up like crazy. I find myself keep rubbing my arms and wherever I put this on.<br /><br />Gosh.....",[""quality""]
Insect Repellent,"Awful.. Awful, watery ""lotion*. It was supposed to be a lotion, not water???<br />Also, keeps 0 bugs abay. Gave me skin rash.  Don't even bother.","[""performance"", ""quality""]"
Water Filter,As advertised. Shipping was exceptionally fast.. As advertised.  Shipping was exceptionally fast.,[""non-review""]
Shower Cap,"An excellent shower cap.. An excellent shower cap, particularly for women with longer hair.",[""design""]
