product_name,review_text,Set 3 - Human Labelled
Amazon Fire Tablet,Dead spot on screen now....5 weeks after warranty expired.. Used only to listen to books at night...barely used.  Am dissatisfied with this product. I have hardly used this.<br /><br />On the right side of the screen there is a dead zone about the size of a business card. Only found out when i went to play a game.,"[""quality""]"
Shower Cap,"Cute but small. It is really cute, the material is okay, but is way to small to cover my hair up. I use it anyway, but I would have rather a bigger cap.",[“design”]
Water Filter,Clorine taste present. Still have that clorine taste,[“performance”]
Logitech Mouse,"Cheaply made. Had higher expectations. Weak, loose, noisy. The roller ball is a distraction instead of an asset. Trying for years to replace a Microsoft Trac-ball. This is a swing and a miss.","[“performance”,“value”]"
Coffee Filter,Careful that your Keurig Machine allows the use of this item.. Unfortunately I have the Keurig 2.0 machine and it doesn't allow you to use this K-cup filter.,[“none”]
Insect Repellent,Bug Guard in Lotion Form. Haven't used it a great deal yet but I like the idea of a bug guard in lotion form.  It is exactly as described & arrived promptly.,[“non-review”]
Coffee Filter,Be careful to check which machines it fits before ordering. Doesn't fit my machine,[“none”]
Insect Repellent,"Balls up like typical AVON product. First, i don't like the smell.<br /><br />Second, it balls up like crazy. I find myself keep rubbing my arms and wherever I put this on.<br /><br />Gosh.....",[“quality”]
Insect Repellent,"Awful.. Awful, watery ""lotion*. It was supposed to be a lotion, not water???<br />Also, keeps 0 bugs abay. Gave me skin rash.  Don't even bother.","[""performance"", ""quality""]"
Water Filter,As advertised. Shipping was exceptionally fast.. As advertised.  Shipping was exceptionally fast.,[“non-review”]
Shower Cap,"An excellent shower cap.. An excellent shower cap, particularly for women with longer hair.",[“design”]
