ID,prompt,completion
none,"Lots of research -<br />Needed a 47 inch HDTV for living room - old style TV shelves built in to include TV position that was too.<br />Based on reviews - caught a quick sales price opportunity and pulled the trigger. So happy with purchase.<br />1. Had to search online for the best picture calibration. Out of the box the picture was not good. Comparing it to our LG 60 plasma.<br />2. Wanted and LED/LCD type TV - but a good picture and price. Our LG plasma has been flawless.<br />3. Wanted a thin TV with a good picture for 3D and wanted it to be passive this time. we have the active 3D downstairs.<br />So far the 8600 has meet our expectations and exceeded some. Once we got the picture calibrated CNET review.... its all been very good.<br />TV is lightweight - we're currently using the TV stand but have plans to mount it on an articulating bracket once we can modify the TV cubby.<br />Remote is their magic remote. our first experience w/ the magic remote was with our plasma (2010), used it twice and stored it.<br />since this was the only remote, had no choice. It was easy to use and get the 8600 updated (firmware), online - Ethernet and change settings for calibration. but since then we only use the remote to turn on the TV since we have DirecTV and use that remote for the channels plus have a Harman Kardon receiver that we use for volume etc. most likely we'll be setting one or both of those up as universal remotes. only make sense.<br /><br />we only used the audio speakers on the 8600 for two weeks, decent sounding but not going to fill the room. we use our Harman Kardon as the workhorse now. once you go HDMI and the receiver the 8600 speakers become inop.<br /><br />the good news - a decently strong person can lift the set by themselves to set it in position or move it to make changes. the picture is good, 3D is decent, not eye popping like active 3D does but good enough for our living room and much cheaper with almost free 3D passive glasses.<br /><br />con - not much we can say.... wish I had got the 55&#34; but the extra few hundred would have put me in the dog house especially when the TV would not have fit inside the tv cubby.",Slightly Positive
none,Drain quick,Negative
none,I feel like they don't work as long.,Slightly Negative
none,limited apps and a bit thicker than iPad but works,Slightly Positive
none,price is good... look good on paper.. some i have are bad.. after few times use .won't buy again unless quality goes up..,Negative
none,"Great for reading in the sunlight. As well as light, and easy on the wrist. Great product, but a little speedy.",Slightly Positive
none,You get what you pay for. Playtime works when it wants to. Went on a long trip and the videos we downloaded had issues playing most of the time. My son is almost 2. He gets bored of it quickly. The pros are the price and it is well protected externally.,Slightly Negative
none,"Was wanting a bigger screen, which it is, trying to get use to different applications, so far seems easy.",Positive
none,There is nothing spectacular about this item but also nothing majorly wrong with it. The biggest flaw is that this is geared to kids and there is no way that I have found searching settings or online to lock the touch screen so that a video keeps playing if the child hits the screen. This means lots of times helping get back into the movie or show rather than just relaxing like an iPad can do with guided access activated.,Slightly Negative
none,It works nice. Still seems like ancient techonology compared to any apple product,Slightly Positive
none,"They don't seem to work except in very low energy items. Can't get them to work in my remotes or in a motion sensor light, but it works on a smaller switch activated night light. :-( oh well",Negative
none,"Great idea but I wasn't keen on the theme. The toys are kind of large and my cat wasn't excited about most of them. The only thing she loved was the treats. Not worth the full price for how many items you get, IMO.",Negative
none,"batteries used primarily for remotes, batteries last for about 1 month",Negative
none,"Hi,I ordered this for my daughter who has an extensive liking of tablets. She didnt like it because of lack of google play services and she didnt have the patience to work with it. I knew that the os is only amazon specific but despite the apps that can be downloaded, she was disappointed. I returned it.If you are an avid amazon person, the tablet works great, if you want a google tablet, this isn't for you. I would recommend these for people that want a good decent tablet that they can read and use amazon apps on.",Slightly Negative
none,Needs to be more simpler. parental contorl still need to be better,Slightly Negative
